iter	Passed	Remaining
0	197	197032
1	198	98955
2	199	66431
3	201	50126
4	202	40258
5	203	33634
6	203	28893
7	204	25326
8	204	22548
9	205	20333
10	206	18524
11	206	17034
12	207	15777
13	208	14693
14	209	13745
15	209	12912
16	211	12204
17	211	11563
18	212	10990
19	213	10470
20	214	9995
21	214	9556
22	215	9159
23	216	8788
24	216	8452
25	217	8146
26	217	7854
27	218	7584
28	218	7332
29	219	7100
30	220	6881
31	220	6679
32	221	6488
33	222	6309
34	222	6137
35	223	5975
36	223	5822
37	224	5681
38	225	5547
39	226	5425
40	226	5306
41	227	5192
42	228	5085
43	229	4978
44	229	4875
45	230	4775
46	230	4682
47	231	4592
48	232	4503
49	232	4418
50	233	4336
51	233	4258
52	234	4181
53	234	4110
54	235	4042
55	236	3978
56	236	3915
57	237	3853
58	237	3792
59	238	3735
60	238	3678
61	239	3625
62	240	3576
63	241	3530
64	242	3481
65	242	3434
66	243	3386
67	243	3339
68	244	3295
69	244	3253
70	245	3212
71	246	3173
72	246	3134
73	247	3098
74	248	3060
75	248	3022
76	249	2985
77	249	2949
78	250	2914
79	250	2880
80	250	2847
81	251	2817
82	251	2783
83	252	2753
84	253	2724
85	253	2695
86	254	2669
87	255	2644
88	256	2622
89	256	2598
90	257	2575
91	258	2550
92	258	2525
93	259	2501
94	260	2476
95	261	2461
96	262	2440
97	262	2419
98	263	2396
99	263	2375
100	264	2355
101	265	2334
102	265	2314
103	266	2294
104	266	2275
105	267	2256
106	268	2237
107	268	2219
108	269	2200
109	269	2184
110	270	2169
111	271	2153
112	272	2138
113	273	2123
114	273	2107
115	274	2091
116	275	2075
117	275	2059
118	276	2044
119	276	2028
120	277	2014
121	277	1998
122	278	1983
123	278	1969
124	279	1954
125	280	1943
126	280	1928
127	281	1914
128	281	1902
129	282	1888
130	282	1875
131	283	1862
132	283	1849
133	284	1836
134	284	1824
135	285	1813
136	286	1804
137	287	1794
138	288	1784
139	288	1774
140	289	1763
141	289	1751
142	290	1740
143	290	1728
144	291	1717
145	291	1707
146	292	1697
147	293	1686
148	293	1676
149	294	1666
150	294	1656
151	295	1646
152	295	1636
153	296	1626
154	296	1617
155	297	1607
156	297	1597
157	298	1588
158	298	1580
159	299	1572
160	299	1563
161	300	1556
162	302	1551
163	303	1545
164	304	1539
165	305	1532
